date,open_sandp_500,high_sandp_500,low_sandp_500,close_sandp_500,volume_sandp_500,value_fed_rate,open_gold_price,high_gold_price,low_gold_price,close_gold_price,volume_gold_price,value_oil_price,open_dow_jone,high_dow_jone,low_dow_jone,close_dow_jone,volume_dow_jone
2019-12-02,3143.85,3144.31,3110.78,3113.87,3.26874E9,1.56,1461.6,1480.4,1459.5,1478.2,1460.0,1.56,28109.74,28109.84,27782.35,27783.04,2.3661E8
2019-12-03,3087.41,3094.97,3070.33,3093.2,3.65339E9,1.55,1477.5,1483.4,1471.2,1474.0,613.0,1.55,27501.98,27524.74,27325.13,27502.81,2.7535E8
2019-12-04,3103.5,3119.38,3102.53,3112.76,3.69503E9,1.55,1474.7,1478.0,1472.3,1476.9,907.0,1.55,27634.63,27727.45,27612.08,27649.78,2.182E8
2019-12-05,3119.21,3119.45,3103.76,3117.43,3.35575E9,1.55,1475.0,1476.0,1458.2,1459.1,899.0,1.55,27736.05,27745.2,27562.8,27677.79,2.086E8
2019-12-06,3134.62,3150.6,3134.62,3145.91,3.47948E9,1.55,1458.8,1464.2,1458.6,1459.3,1461.0,1.55,27839.68,28035.85,27839.68,28015.06,2.2331E8
2019-12-09,3141.86,3148.87,3135.46,3135.96,3.34599E9,1.55,1460.7,1467.2,1460.7,1462.6,367.0,1.55,27987.05,28010.42,27906.14,27909.6,2.17E8
2019-12-10,3135.36,3142.12,3126.09,3132.52,3.34379E9,1.55,1463.1,1475.4,1463.1,1469.4,393.0,1.55,27900.65,27949.02,27804.0,27881.72,2.1325E8
2019-12-11,3135.75,3143.98,3133.21,3141.63,3.25254E9,1.55,1475.1,1483.9,1463.7,1466.7,955.0,1.55,27867.31,27925.5,27801.8,27911.3,2.1351E8
2019-12-12,3141.23,3176.28,3138.47,3168.57,3.99069E9,1.55,1463.1,1475.9,1463.1,1475.6,468.0,1.55,27898.34,28224.95,27859.87,28132.05,2.7774E8
2019-12-13,3166.65,3182.68,3156.51,3168.8,3.73687E9,1.55,1473.8,1475.3,1473.8,1475.0,99.0,1.55,28123.64,28290.73,28028.32,28135.38,2.5066E8
2019-12-16,3183.63,3197.71,3183.63,3191.45,4.05179E9,1.56,1474.1,1476.9,1474.0,1474.6,410.0,1.56,28191.67,28337.49,28191.67,28235.89,2.8677E8
2019-12-17,3195.4,3198.22,3191.03,3192.52,3.83754E9,1.55,1472.6,1472.6,1472.6,1472.6,250.0,1.55,28221.75,28328.63,28220.56,28267.16,2.8677E8
2019-12-18,3195.21,3198.48,3191.14,3191.14,4.01408E9,1.55,1475.9,1478.9,1473.3,1478.2,319.0,1.55,28291.44,28323.25,28239.28,28239.28,2.8989E8
2019-12-19,3192.32,3205.48,3192.32,3205.37,3.72045E9,1.55,1476.7,1478.1,1474.7,1474.7,118.0,1.55,28278.31,28381.48,28278.24,28376.96,2.6257E8
2019-12-20,3223.33,3225.65,3216.03,3221.22,6.45427E9,1.55,1482.3,1482.5,1479.9,1482.5,391.0,1.55,28608.64,28608.64,28445.6,28455.09,6.0378E8
2019-12-23,3226.05,3227.78,3222.3,3224.01,3.06061E9,1.55,1488.7,1499.1,1488.7,1499.1,52.0,1.55,28491.78,28582.49,28491.78,28551.53,2.2353E8
2019-12-24,3225.45,3226.43,3220.51,3223.38,1.29654E9,1.55,1505.2,1512.3,1505.0,1509.3,126.0,1.55,28572.57,28576.8,28503.21,28515.45,8.615E7
2019-12-26,3227.2,3240.08,3227.2,3239.91,2.16068E9,1.55,1513.8,1513.8,1513.8,1513.8,839.0,1.55,28539.46,28624.1,28535.15,28621.39,1.5597E8
2019-12-27,3247.23,3247.93,3234.37,3240.02,2.42867E9,1.55,1512.6,1515.1,1510.0,1514.5,446.0,1.55,28675.34,28701.66,28608.98,28645.26,1.8228E8
2019-12-30,3240.09,3240.92,3216.57,3221.29,3.01329E9,1.55,1513.8,1523.4,1513.8,1519.5,301.0,1.55,28654.76,28664.69,28428.98,28462.14,1.816E8
2019-12-31,3215.18,3231.72,3212.03,3230.78,2.89381E9,1.55,1518.1,1528.7,1518.0,1524.5,214.0,1.55,28414.64,28547.35,28376.49,28538.44,1.9334E8
2020-01-02,3244.67,3258.14,3235.53,3257.85,3.45825E9,1.55,1530.1,1552.7,1530.1,1549.2,107.0,1.55,28638.97,28872.8,28627.77,28868.8,2.5182E8
2020-01-03,3226.36,3246.15,3222.34,3234.85,3.46129E9,1.55,1580.0,1580.0,1560.4,1566.2,416.0,1.55,28553.33,28716.31,28500.36,28634.88,2.3959E8
2020-01-06,3217.55,3246.84,3214.64,3246.28,3.67407E9,1.55,1558.3,1576.3,1558.3,1571.8,47.0,1.55,28465.5,28708.02,28418.63,28703.38,2.5276E8
2020-01-07,3241.86,3244.91,3232.43,3237.18,3.42038E9,1.55,1579.7,1604.2,1552.3,1557.4,236.0,1.55,28639.18,28685.5,28565.28,28583.68,2.589E8
2020-01-08,3238.59,3267.07,3236.67,3253.05,3.72089E9,1.55,1555.7,1555.7,1543.3,1551.7,54.0,1.55,28556.14,28866.18,28522.51,28745.09,2.9175E8
2020-01-09,3266.03,3275.58,3263.67,3274.7,3.63839E9,1.55,1551.2,1558.8,1545.4,1557.5,16.0,1.55,28851.97,28988.01,28844.31,28956.9,2.7506E8
2020-01-10,3281.81,3282.99,3260.86,3265.35,3.21297E9,1.54,1557.4,1558.0,1548.4,1548.4,48.0,1.54,28977.52,29009.07,28789.1,28823.77,2.3783E8
2020-01-13,3271.13,3288.13,3268.43,3288.13,3.45638E9,1.54,1546.7,1546.7,1534.9,1542.4,32.0,1.54,28869.01,28909.91,28819.43,28907.05,2.4983E8
2020-01-14,3285.35,3294.25,3277.19,3283.15,3.66513E9,1.54,1548.0,1553.9,1545.6,1552.1,11.0,1.54,28895.5,29054.16,28872.27,28939.67,2.8744E8
2020-01-15,3282.27,3298.66,3280.69,3289.29,3.71684E9,1.54,1555.7,1556.1,1548.5,1549.0,98.0,1.54,28901.8,29127.59,28897.35,29030.22,2.6027E8
2020-01-16,3302.97,3317.11,3302.82,3316.81,3.53508E9,1.54,1554.1,1558.8,1553.6,1558.8,108.0,1.54,29131.95,29300.32,29131.95,29297.64,2.5211E8
2020-01-17,3323.66,3329.88,3318.86,3329.62,3.69817E9,1.55,1559.3,1566.2,1551.0,1556.4,45.0,1.55,29313.31,29373.62,29289.91,29348.1,3.2182E8
2020-01-21,3321.03,3329.79,3316.61,3320.79,4.10534E9,1.55,1549.8,1557.1,1549.8,1555.3,42.0,1.55,29269.05,29341.21,29146.47,29196.04,3.2064E8
2020-01-22,3330.02,3337.77,3320.04,3321.75,3.61985E9,1.55,1553.1,1564.6,1552.2,1564.6,15.0,1.55,29263.63,29320.2,29172.26,29186.27,2.8344E8
2020-01-23,3315.77,3326.88,3301.87,3325.54,3.76486E9,1.55,1556.3,1571.1,1556.3,1571.1,43.0,1.55,29111.02,29190.47,28966.98,29160.09,3.0706E8
2020-01-24,3333.1,3333.18,3281.53,3295.47,3.70713E9,1.55,1584.3,1584.5,1576.8,1576.8,22.0,1.55,29230.39,29288.79,28843.31,28989.73,3.8001E8
2020-01-27,3247.16,3258.85,3234.5,3243.63,3.8231E9,1.55,1576.4,1576.4,1569.2,1569.2,3.0,1.55,28542.49,28671.79,28440.47,28535.8,3.3727E8
2020-01-28,3255.35,3285.78,3253.22,3276.24,3.52672E9,1.55,1569.8,1569.8,1569.8,1569.8,251274.0,1.55,28594.28,28823.23,28575.75,28722.85,3.3014E8
2020-01-29,3289.46,3293.47,3271.89,3273.4,3.5845E9,1.55,1576.8,1585.0,1571.4,1583.5,62336.0,1.55,28820.53,28944.24,28728.19,28734.45,3.0229E8
2020-01-30,3256.45,3285.91,3242.8,3283.66,3.78725E9,1.6,1573.4,1589.0,1570.0,1582.9,1095.0,1.6,28640.16,28879.71,28489.76,28859.44,3.2685E8
2020-01-31,3282.33,3282.33,3214.68,3225.52,4.52783E9,1.59,1592.9,1593.3,1568.2,1577.2,1062.0,1.59,28813.04,28813.04,28169.53,28256.03,4.0389E8
2020-02-03,3235.66,3268.44,3235.66,3248.92,3.75791E9,1.59,1577.7,1577.7,1547.8,1550.4,978.0,1.59,28319.65,28630.39,28319.65,28399.81,3.0791E8
2020-02-04,3280.61,3306.92,3280.61,3297.59,3.99532E9,1.59,1553.2,1560.7,1547.7,1557.8,1305.0,1.59,28696.74,28904.88,28696.74,28807.63,3.3275E8
2020-02-05,3324.91,3337.58,3313.75,3334.69,4.11773E9,1.59,1553.6,1565.6,1551.6,1565.1,110.0,1.59,29048.73,29308.89,29000.85,29290.85,3.5754E8
2020-02-06,3344.92,3347.96,3334.39,3345.78,3.86837E9,1.59,1564.9,1571.9,1560.5,1568.6,431.0,1.59,29388.58,29408.05,29246.93,29379.77,2.637E8
2020-02-07,3335.54,3341.42,3322.12,3327.71,3.73065E9,1.58,1569.3,1574.7,1568.6,1574.7,128.0,1.58,29286.92,29286.92,29056.98,29102.51,2.5286E8
2020-02-10,3318.28,3352.26,3317.77,3352.09,3.45035E9,1.58,1570.9,1571.1,1561.9,1565.6,440.0,1.58,28995.66,29278.07,28995.66,29276.82,2.5051E8
2020-02-11,3365.87,3375.63,3352.72,3357.75,3.76055E9,1.58,1565.2,1568.7,1561.0,1567.4,36.0,1.58,29390.71,29415.39,29210.47,29276.34,2.7954E8
2020-02-12,3370.5,3381.47,3369.72,3379.45,3.92638E9,1.58,1570.2,1575.1,1570.2,1575.1,74.0,1.58,29406.75,29568.57,29406.75,29551.42,3.0953E8
2020-02-13,3365.9,3385.09,3360.52,3373.94,3.49824E9,1.58,1575.8,1582.7,1574.8,1582.7,68.0,1.58,29436.03,29535.4,29345.93,29423.31,2.9115E8
2020-02-14,3378.08,3380.69,3366.15,3380.16,3.39804E9,1.58,1579.8,1604.3,1579.8,1600.0,310.0,1.58,29440.47,29463.04,29283.18,29398.08,2.31E8
2020-02-18,3369.04,3375.01,3355.61,3370.29,3.74672E9,1.59,1600.6,1610.5,1599.7,1607.5,542.0,1.59,29282.78,29330.16,29116.81,29232.19,2.566E8
2020-02-19,3380.39,3393.52,3378.83,3386.15,3.60015E9,1.59,1606.5,1621.0,1603.0,1616.6,117.0,1.59,29312.7,29409.09,29274.38,29348.03,2.4064E8
2020-02-20,3380.45,3389.15,3341.02,3373.23,4.00732E9,1.59,1619.3,1645.0,1619.3,1644.6,186.0,1.59,29296.25,29368.45,28959.65,29219.98,2.8778E8
2020-02-21,3360.5,3360.76,3328.45,3337.75,3.89927E9,1.58,1657.0,1686.6,1650.0,1672.4,435.0,1.58,29146.53,29146.53,28892.7,28992.41,3.1121E8
2020-02-24,3257.61,3259.81,3214.65,3225.89,4.84296E9,1.58,1645.1,1653.7,1632.3,1646.9,409.0,1.58,28402.93,28402.93,27912.44,27960.8,4.5258E8
2020-02-25,3238.94,3246.99,3118.77,3128.21,5.59151E9,1.58,1644.0,1648.1,1636.4,1640.0,1990.0,1.58,28037.65,28149.2,26997.62,27081.36,5.1327E8
2020-02-26,3139.9,3182.51,3108.99,3116.39,5.47811E9,1.58,1641.1,1658.0,1638.5,1640.0,707.0,1.58,27159.46,27542.78,26890.97,26957.59,4.7245E8
2020-02-27,3062.54,3097.07,2977.39,2978.76,7.05884E9,1.58,1640.3,1642.5,1564.1,1564.1,289.0,1.58,26526.0,26775.31,25752.82,25766.64,6.6498E8
2020-02-28,2916.9,2959.72,2855.84,2954.22,8.56385E9,1.58,1583.9,1608.3,1574.3,1592.3,537.0,1.58,25270.83,25494.24,24681.01,25409.36,9.1599E8
2020-03-02,2974.28,3090.96,2945.19,3090.23,6.3764E9,1.59,1594.5,1645.3,1594.0,1642.1,610.0,1.59,25590.51,26706.17,25391.96,26703.32,6.372E8
2020-03-03,3096.46,3136.72,2976.63,3003.37,6.35594E9,1.59,1645.4,1645.9,1631.3,1641.1,83.0,1.59,26762.47,27084.59,25706.28,25917.41,6.4708E8
2020-03-04,3045.75,3130.97,3034.38,3130.12,5.03548E9,1.09,1637.3,1672.9,1637.2,1666.4,154.0,1.09,26383.68,27102.34,26286.31,27090.86,4.5759E8
2020-03-05,3075.7,3083.04,2999.83,3023.94,5.57555E9,1.09,1670.8,1686.2,1647.2,1670.8,175.0,1.09,26671.92,26671.92,25943.33,26121.28,4.7737E8
2020-03-06,2954.2,2985.93,2901.54,2972.37,6.55214E9,1.09,1696.1,1701.6,1657.7,1674.5,161.0,1.09,25457.21,25994.38,25226.62,25864.78,5.9978E8
2020-03-09,2863.89,2863.89,2734.43,2746.56,8.42305E9,1.09,1671.6,1674.6,1643.0,1659.1,48.0,1.09,24992.36,24992.36,23706.07,23851.02,7.5043E8
2020-03-10,2813.48,2882.59,2734.0,2882.23,7.63596E9,1.09,1656.6,1666.5,1635.0,1641.4,47.0,1.09,24453.0,25020.99,23690.34,25018.16,6.5486E8
2020-03-11,2825.6,2825.6,2707.22,2741.38,7.37411E9,1.09,1637.0,1647.5,1566.4,1589.3,256.0,1.09,24604.63,24604.63,23328.32,23553.22,6.6396E8
2020-03-12,2630.86,2660.95,2478.86,2480.64,8.82938E9,1.1,1574.9,1589.8,1513.8,1515.7,89.0,1.1,22184.71,22837.95,21154.46,21200.62,9.0826E8
2020-03-13,2569.99,2711.33,2492.37,2711.02,8.25867E9,1.1,1569.1,1569.1,1452.1,1485.9,193.0,1.1,21973.82,23189.76,21285.37,23185.62,8.4308E8
2020-03-16,2508.59,2562.98,2380.94,2386.13,7.78154E9,0.25,1469.3,1537.7,1469.3,1524.9,122.0,0.25,20917.53,21768.28,20116.46,20188.52,7.7013E8
2020-03-17,2425.66,2553.93,2367.04,2529.19,8.3585E9,0.25,1537.5,1542.0,1477.3,1477.3,333.0,0.25,20487.05,21379.35,19882.26,21237.38,7.9306E8
2020-03-18,2436.5,2453.57,2280.52,2398.1,8.75578E9,0.25,1481.5,1491.6,1471.0,1478.6,262.0,0.25,20188.69,20489.33,18917.46,19898.92,8.7136E8
2020-03-19,2393.48,2466.97,2319.78,2409.39,7.94671E9,0.2,1483.5,1484.0,1483.5,1484.0,14.0,0.2,19830.01,20442.63,19177.13,20087.19,7.803E8
2020-03-20,2431.94,2453.01,2295.56,2304.92,9.04469E9,0.15,1505.3,1567.0,1490.2,1567.0,51.0,0.15,20253.15,20531.26,19094.27,19173.98,8.7229E8
2020-03-23,2290.71,2300.73,2191.86,2237.4,7.40218E9,0.15,1592.7,1685.5,1592.7,1660.2,442.0,0.15,19028.36,19121.01,18213.65,18591.93,7.8797E8
2020-03-24,2344.44,2449.71,2344.44,2447.33,7.54735E9,0.12,1676.5,1676.5,1631.1,1632.3,476.0,0.12,19722.19,20737.7,19649.25,20704.91,7.9934E8
2020-03-25,2457.77,2571.42,2407.53,2475.56,8.28567E9,0.1,1660.5,1660.5,1650.1,1650.1,3.0,0.1,21050.34,22019.93,20538.34,21200.55,7.9632E8
2020-03-26,2501.29,2637.01,2500.72,2630.07,7.75316E9,0.1,1623.9,1623.9,1623.9,1623.9,100638.0,0.1,21468.38,22595.06,21427.1,22552.17,7.0518E8
2020-03-27,2555.87,2615.91,2520.02,2541.47,6.19433E9,0.1,1641.2,1652.8,1607.2,1622.0,16389.0,0.1,21898.47,22327.57,21469.27,21636.78,5.8883E8
2020-03-30,2558.98,2631.8,2545.28,2626.65,5.74622E9,0.09,1618.7,1621.0,1576.0,1583.4,2874.0,0.09,21678.22,22378.09,21522.08,22327.48,5.4554E8
2020-03-31,2614.69,2641.39,2571.15,2584.59,6.56829E9,0.08,1570.0,1600.0,1570.0,1578.2,2158.0,0.08,22208.42,22480.37,21852.08,21917.16,5.7121E8
2020-04-01,2498.08,2522.75,2447.49,2470.5,5.9479E9,0.06,1590.9,1631.2,1586.0,1625.7,1294.0,0.06,21227.38,21487.24,20784.43,20943.51,5.0668E8
2020-04-02,2458.54,2533.22,2455.79,2526.9,6.45499E9,0.05,1624.5,1636.0,1619.8,1633.7,643.0,0.05,20819.46,21477.77,20735.02,21413.44,5.2954E8
2020-04-03,2514.92,2538.18,2459.96,2488.65,6.08719E9,0.05,1629.1,1696.7,1625.9,1677.0,1063.0,0.05,21285.93,21447.81,20863.09,21052.53,4.5001E8
2020-04-06,2578.28,2676.85,2574.57,2663.68,6.39186E9,0.05,1695.7,1724.4,1658.0,1664.8,1144.0,0.05,21693.63,22783.45,21693.63,22679.99,6.1076E8
